countrycode,country,year,democracy,polity,gdppc,enrl_gross,enrl_net,agri,slums,telephone,internet,tax,electricity,mobile,service,oil,natural,literacy,prim_compl,infant,hosp,tub,health_ex,ineq,unemploy,lifeexp,urban,un_continent_name,un_region_name,polity5,l.gdp,gdpgrowth
VNM,VIETNAM,2015,0,-7,1667.171783,109.8869934,NA,44.02000046,NA,7.903731231,45,NA,99.80340576,129.8315152,39.73328958,1.491286496,4.206112896,NA,105.1644592,17.2,NA,199,5.65262079,NA,1.85,75.11,33.809,Asia,South-Eastern Asia,-7,1579.20193,87.96985300000006
VUT,VANUATU,2015,1,NA,2680.127867,109.2918701,79.84105,60.61999893,NA,1.769261978,22.35140458,16.90670876,52.2941246,64.47755689,NA,0,0.784549066,NA,NA,24,NA,63,4.15773726,NA,1.81,69.869,24.961,Oceania,Melanesia,NA,2743.465412,-63.337544999999864
WSM,SAMOA (WESTERN),2015,0,NA,3558.178395,106.3727875,95.93403,32.33000183,NA,5.918465426,25.40700977,NA,99.04818726,62.27850325,73.7757595,0,0.40255564,NA,110.3240204,14.5,NA,11,5.6747098,NA,8.66,72.73,18.914,Oceania,Polynesia,NA,3435.295255,122.88313999999991
YEM,YEMEN,2015,0,0,785.33766,NA,NA,29.46999931,NA,4.310633953,24.08540947,NA,67.39666748,56.69113113,23.36007926,1.673473654,2.105148678,NA,NA,43.4,0.71,48,4.88250208,NA,13.4,66.085,34.777,Asia,Western Asia,0,1119.147363,-333.809703
ZAF,SOUTH AFRICA,2015,1,9,7556.788306,105.5703888,84.35479,5.610000134,NA,7.458613417,51.91911572,27.3427766,85.3,158.8829468,61.38933856,0.005081135,2.738260301,94.36791992,90.11048889,28.5,NA,988,8.20090294,NA,25.15,62.649,64.828,Africa,Southern Africa,9,7582.948137,-26.15983099999994
ZAR,"CONGO, DEM. REP.",2015,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
ZMB,ZAMBIA,2015,1,7,1641.012428,101.4604797,NA,52.27000046,NA,0.731547069,NA,14.39396393,31.1,72.78457238,56.22041422,0,11.16358183,NA,NA,46.7,NA,391,4.43510246,1,10.1,61.737,41.907,Africa,Eastern Africa,7,1644.102519,-3.0900910000000295
ZWE,ZIMBABWE,2015,0,4,1234.102191,NA,NA,67.05999756,NA,2.415569756,22.7428181,17.6733632,33.7,92.34710538,58.6510603,0,4.561980836,NA,NA,42.9,NA,242,7.45206642,NA,5.29,59.534,32.385,Africa,Eastern Africa,4,1232.862234,1.239957000000004
NA,KOSOVO,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SERBIA,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MONTENEGRO,2015,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
NA,"SUDAN, NORTH",2015,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA
NA,"SUDAN, SOUTH",2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
